Resolution,Frame rate,Compression,Format,Container,Canon log,Bitrate
8k,29.97,Raw,Raw,CRM,-,2600
8k,25.00,Raw,Raw,CRM,-,2600
8k,24.00,Raw,Raw,CRM,-,2600
8k,23.98,Raw,Raw,CRM,-,2600
8k,29.97,Raw (Light),Raw,CRM,-,1700
8k,25.00,Raw (Light),Raw,CRM,-,1700
8k,24.00,Raw (Light),Raw,CRM,-,1350
8k,23.98,Raw (Light),Raw,CRM,-,1350
8K,29.97,ALL-I,MP4 H.264,MOV,Off,1300
8K,25.00,ALL-I,MP4 H.264,MOV,Off,1300
8K,24.00,ALL-I,MP4 H.264,MOV,Off,1300
8K,23.98,ALL-I,MP4 H.264,MOV,Off,1300
8K,29.97,IPB,MP4 H.264,MOV,Off,470
8K,25.00,IPB,MP4 H.264,MOV,Off,470
8K,24.00,IPB,MP4 H.264,MOV,Off,470
8K,23.98,IPB,MP4 H.264,MOV,Off,470
8K,29.97,IPB (Light),MP4 H.264,MOV,Off,230
8K,25.00,IPB (Light),MP4 H.264,MOV,Off,230
8K,24.00,IPB (Light),MP4 H.264,MOV,Off,230
8K,23.98,IPB (Light),MP4 H.264,MOV,Off,230
4K,119.9p ,ALL-I,MP4 H.264,MOV,Off,1880
4K, 100,ALL-I,MP4 H.264,MOV,Off,1880
4K,59.94,ALL-I,MP4 H.264,MOV,Off,940
4K,50.00,ALL-I,MP4 H.264,MOV,Off,940
4K,59.94,IPB,MP4 H.264,MOV,Off,230
4K,50.00,IPB,MP4 H.264,MOV,Off,230
4K,59.94,IPB (Light),MP4 H.264,MOV,Off,120
4K,50.00,IPB (Light),MP4 H.264,MOV,Off,120
4K,29.97,ALL-I,MP4 H.264,MOV,Off,470
4K,25.00,ALL-I,MP4 H.264,MOV,Off,470
4K,24.00,ALL-I,MP4 H.264,MOV,Off,470
4K,23.98,ALL-I,MP4 H.264,MOV,Off,470
4K,29.97,IPB,MP4 H.264,MOV,Off,120
4K,25.00,IPB,MP4 H.264,MOV,Off,120
4K,24.00,IPB,MP4 H.264,MOV,Off,120
4K,23.98,IPB,MP4 H.264,MOV,Off,120
4K,29.97,IPB (Light),MP4 H.264,MOV,Off,60
4K,25.00,IPB (Light),MP4 H.264,MOV,Off,60
4K,24.00,IPB (Light),MP4 H.264,MOV,Off,60
4K,23.98,IPB (Light),MP4 H.264,MOV,Off,60
Full HD,119.9,ALL-I,MP4 H.264,MOV,Off,360
Full HD,100,ALL-I,MP4 H.264,MOV,Off,360
Full HD,59.94,ALL-I,MP4 H.264,MOV,Off,180
Full HD,50.00,ALL-I,MP4 H.264,MOV,Off,180
Full HD, 59.94,IPB,MP4 H.264,MOV,Off,60
Full HD,50.00,IPB,MP4 H.264,MOV,Off,60
Full HD, 59.94,IPB (Light),MP4 H.264,MOV,Off,35
Full HD,50.00,IPB (Light),MP4 H.264,MOV,Off,35
Full HD,29.97,ALL-I,MP4 H.264,MOV,Off,90
Full HD,25.00,ALL-I,MP4 H.264,MOV,Off,90
Full HD,24.00,ALL-I,MP4 H.264,MOV,Off,90
Full HD,23.98,ALL-I,MP4 H.264,MOV,Off,90
Full HD,29.97,IPB,MP4 H.264,MOV,Off,30
Full HD,25.00,IPB,MP4 H.264,MOV,Off,30
Full HD,24.00,IPB,MP4 H.264,MOV,Off,30
Full HD,23.98,IPB,MP4 H.264,MOV,Off,30
Full HD,29.97,,MP4 H.264,MOV,Off,12
Full HD,25.00p) IPB (Light,,MP4 H.264,MOV,Off,12
8K Time Lapse,29.97,ALL-I,MP4 H.264,MOV,Off,1300
